nbr_name,nbr_fmt,grp
rate_opng_glbl_cbn_controls,0.00229,rate_opng_glbl
rate_opng_glbl_yearly_cbn1,0.00404,rate_opng_glbl_yearly
rate_opng_glbl_yearly_cbn2,0.00287,rate_opng_glbl_yearly
rate_opng_glbl_yearly_cbn3,0.00273,rate_opng_glbl_yearly
rate_opng_glbl_yearly_cbn_controls,0.00221,rate_opng_glbl_yearly
opng_p1m_glbl_yearly_cbn1,248,opng_p1m_glbl_yearly
opng_p1m_glbl_yearly_cbn2,348,opng_p1m_glbl_yearly
opng_p1m_glbl_yearly_cbn3,366,opng_p1m_glbl_yearly
opng_p1m_glbl_yearly_cbn_controls,452,opng_p1m_glbl_yearly
velp_mean_uscld,-0.009,velp_mean
velp_quantl25_uscld,-0.024,velp_mean
velp_quantl75_uscld,0.007,velp_mean
velp_mean_scld,0.13,velp_mean
velp_quantl25_scld,0.34,velp_mean
velp_quantl75_scld,0.10,velp_mean
intcpt,-4.64,intcpt_info
intcpt_exp,0.010,intcpt_info
Ind_tax_incentives_cbn3_coef,0.68,txinctvs
Ind_tax_incentives_cbn3_coef_exp,2.0,txinctvs
Ind_tax_incentives_cbn3_pvlu,0.14,txinctvs
Ind_tax_incentives_cbn2_coef,0.61,txinctvs
tmitr_approx_linear20step_cbn2_coef,-0.58,txinctvs
ti_tmitr_interact_cbn2_coef,0.94,txinctvs
ti_tmitr_interact_cbn2_coef_exp,2.57,txinctvs
tmitr_1SD_cbn2,13.5,txinctvs
tmitr_neteffct_txdctblt1_cbn2,0.37,txinctvs
tmitr_neteffct_txdctblt1_cbn2_exp,1.44,txinctvs
tmitr_iso3c1,50,txinctvs
tmitr_iso3c2,36,txinctvs
smorc_lin,0.59,smorc_stats
smorc_lin_flipped,-0.59,smorc_stats
smorc_sqrd,-0.65,smorc_stats
smorc_top_point_std,0.45,smorc_stats
smorc_top_point,485,smorc_stats
smorc_2020_SVK,415,smorc_vlus_2020
smorc_2020_NZL,462,smorc_vlus_2020
smorc_2020_POL,466,smorc_vlus_2020
smorc_2020_LVA,468,smorc_vlus_2020
smorc_2020_AUS,500,smorc_vlus_2020
smorc_2020_ESP,501,smorc_vlus_2020
smorc_2020_CAN,513,smorc_vlus_2020
smorc_2020_HRV,521,smorc_vlus_2020
smorc_2020_IRL,529,smorc_vlus_2020
smorc_2020_SGP,541,smorc_vlus_2020
smorc_2020_BEL,689,smorc_vlus_2020
smorc_2020_AUT,694,smorc_vlus_2020
smorc_2020_NLD,782,smorc_vlus_2020
smorc_2020_FIN,799,smorc_vlus_2020
smorc_2020_CHE,806,smorc_vlus_2020
smorc_2020_EST,820,smorc_vlus_2020
smorc_2020_SWE,859,smorc_vlus_2020
smorc_2020_DNK,1 058,smorc_vlus_2020
smorc_2020_HUN,1 410,smorc_vlus_2020
smorc_2020_NOR,1 544,smorc_vlus_2020
smorc_2020_LUX,1 563,smorc_vlus_2020
smorctop_below_CYs_cnt,864,smorc_top_point_stats
smorctop_above_CYs_cnt,377,smorc_top_point_stats
smorctop_below_nbr_opened_cnt,222,smorc_top_point_stats
smorctop_above_nbr_opened_cnt,133,smorc_top_point_stats
smorctop_below_CYs_prop,69.6,smorc_top_point_stats
smorctop_above_CYs_prop,30.4,smorc_top_point_stats
smorctop_below_nbr_opened_prop,62.5,smorc_top_point_stats
smorctop_above_nbr_opened_prop,37.5,smorc_top_point_stats
shweal_1SD_cbn1,7.5,shweal_stats
shweal_iso3c1,50.2,shweal_stats
shweal_iso3c2,57.9,shweal_stats
shweal_lngtd_vlu_year1,64.1,shweal_stats
shweal_lngtd_vlu_year2,71.7,shweal_stats
shweal_cbn1,0.34,shweal_stats
shweal_cbn1_exp,1.41,shweal_stats
sptinc_1SD_cbn1,8.9,sptinc_stats
sptinc_iso3c1,30.8,sptinc_stats
sptinc_iso3c2,39.7,sptinc_stats
sptinc_lngtd_vlu_year1,34.8,sptinc_stats
sptinc_lngtd_vlu_year2,43.5,sptinc_stats
sptinc_cbn1,-0.52,sptinc_stats
sptinc_cbn1_exp,0.59,sptinc_stats
pm_density_cbn1,1.30,dens_coef_stats
pm_density_sqrd_cbn1,-0.30,dens_coef_stats
pm_density_glbl_cbn1,-0.32,dens_coef_stats
pm_density_glbl_sqrd_cbn1,-0.25,dens_coef_stats
dens_cry_top_point_std_cbn1,2.20,dens_coef_stats
dens_glbl_top_point_std_cbn1,-0.64,dens_coef_stats
dens_cry_top_point_cbn1,0.78,dens_coef_stats
dens_glbl_top_point_cbn1,226.11,dens_coef_stats
dens_cry_top_below_CYs_cnt,1 170,dens_cry_top_point_stats
dens_cry_top_above_CYs_cnt,71,dens_cry_top_point_stats
dens_cry_top_below_nbr_opened_cnt,318,dens_cry_top_point_stats
dens_cry_top_above_nbr_opened_cnt,37,dens_cry_top_point_stats
dens_cry_top_below_CYs_prop,94.3,dens_cry_top_point_stats
dens_cry_top_above_CYs_prop,5.7,dens_cry_top_point_stats
dens_cry_top_below_nbr_opened_prop,89.6,dens_cry_top_point_stats
dens_cry_top_above_nbr_opened_prop,10.4,dens_cry_top_point_stats
dens_glbl_top_above_CYs_cnt,839,dens_glbl_top_point_stats
dens_glbl_top_below_CYs_cnt,402,dens_glbl_top_point_stats
dens_glbl_top_above_nbr_opened_cnt,240,dens_glbl_top_point_stats
dens_glbl_top_below_nbr_opened_cnt,115,dens_glbl_top_point_stats
dens_glbl_top_above_CYs_prop,67.6,dens_glbl_top_point_stats
dens_glbl_top_below_CYs_prop,32.4,dens_glbl_top_point_stats
dens_glbl_top_above_nbr_opened_prop,67.6,dens_glbl_top_point_stats
dens_glbl_top_below_nbr_opened_prop,32.4,dens_glbl_top_point_stats
gdp_coef_cbn3,0.88,gdp_stats
gdp_coef_cbn2,0.79,gdp_stats
gdp_coef_cbn1,0.14,gdp_stats
gdp_1SD_cbn1,24.93,gdp_stats
gdp_1SD_cbn2,21.12,gdp_stats
gdp_1SD_cbn3,19.55,gdp_stats
hnwi_nbr_5M_cbn2_coef,-0.23,hnwi_stats
hnwi_nbr_5M_cbn2_pvlu,0.042,hnwi_stats
hnwi_nbr_5M_cbn3_coef,-0.20,hnwi_stats
hnwi_nbr_5M_cbn3_pvlu,0.046,hnwi_stats
shweal_lngtd_year1,1991,shweal_stats
shweal_lngtd_year2,2011,shweal_stats
sptinc_lngtd_year1,2010,sptinc_stats
sptinc_lngtd_year2,2017,sptinc_stats
ynkplt_cbn_log_likelihoods,(eval (concat "#+label: fig:cbn_log_likelihoods\n" "#+caption: model log likelihood distribution per dataset\n" "#+attr_latex: :width 16cm\n" "[[file:figures/plt_v27_cbn_log_likelihoods.pdf]]")),pltcfgs
ynkplt_cvrgnc,(eval (concat "#+label: fig:cvrgnc\n" "#+caption: Model improvement\n" "#+attr_latex: :width 12cm\n" "[[file:figures/plt_v27_cvrgnc.pdf]]")),pltcfgs
ynkplt_coef_violin,(eval (concat "#+label: fig:coef_violin\n" "#+caption: Distribution of coefficient point estimates (Gaussian kernel density estimate; bandwidth = 0.04)\n" "#+attr_latex: :width 18cm\n" "[[file:figures/plt_v27_coef_violin.pdf]]")),pltcfgs
ynkplt_best_coefs_cloud,(eval (concat "#+label: fig:best_coefs_cloud\n" "#+caption: Coefficient point estimate and 95% CI\n" "#+attr_latex: :width 18cm\n" "[[file:figures/plt_v27_best_coefs_cloud.pdf]]")),pltcfgs
ynkplt_best_coefs_single,(eval (concat "#+label: fig:best_coefs_single\n" "#+caption: Model coefficients (best fitting model)\n" "#+attr_latex: :width 18cm\n" "[[file:figures/plt_v27_best_coefs_single.pdf]]")),pltcfgs
ynkplt_best_coefs_single_cbn1,(eval (concat "#+label: fig:best_coefs_single_cbn1\n" "#+caption: asdf\n" "#+attr_latex: :width 14cm\n" "[[file:figures/plt_v27_best_coefs_single_cbn1.pdf]]")),pltcfgs
ynkplt_lag_dens,(eval (concat "#+label: fig:lag_dens\n" "#+caption: Lag choice distribution\n" "#+attr_latex: :width 18cm\n" "[[file:figures/plt_v27_lag_dens.pdf]]")),pltcfgs
ynkplt_oneout_coefs,(eval (concat "#+label: fig:oneout_coefs\n" "#+caption: Model coefficients (best fitting model; colored by significance of model improvement)\n" "#+attr_latex: :width 18cm\n" "[[file:figures/plt_v27_oneout_coefs.pdf]]")),pltcfgs
ynkplt_oneout_llrt_lldiff,(eval (concat "#+label: fig:oneout_llrt_lldiff\n" "#+caption: Model improvement given variable inclusion (Gaussian kernel density estimate; bandwidth = 0.4)\n" "#+attr_latex: :width 18cm\n" "[[file:figures/plt_v27_oneout_llrt_lldiff.pdf]]")),pltcfgs
ynkplt_oneout_llrt_z,(eval (concat "#+label: fig:oneout_llrt_z\n" "#+caption: Distribution of Z-score of log-likelihood ratio test p-value (Gaussian kernel density estimate; bandwidth = 0.1)\n" "#+attr_latex: :width 18cm\n" "[[file:figures/plt_v27_oneout_llrt_z.pdf]]")),pltcfgs
ynkplt_vrbl_cycnt,(eval (concat "#+label: fig:vrbl_cycnt\n" "#+caption: Number of countries with per year per variable\n" "#+attr_latex: :width 18cm\n" "[[file:figures/plt_v27_vrbl_cycnt.pdf]]")),pltcfgs
ynkplt_cbn_cycnt,(eval (concat "#+label: fig:cbn_cycnt\n" "#+caption: Number of countries per year per variable combination\n" "#+attr_latex: :width 18cm\n" "[[file:figures/plt_v27_cbn_cycnt.pdf]]")),pltcfgs
ynkplt_vif,(eval (concat "#+label: fig:vif\n" "#+caption: Distribution of VIF estimates (Gaussian kernel density estimate; bandwidth = 0.1)\n" "#+attr_latex: :width 18cm\n" "[[file:figures/plt_v27_vif.pdf]]")),pltcfgs
ynkplt_velp,(eval (concat "#+label: fig:velp\n" "#+caption: Results of regressing longitudinal variables on year\n" "#+attr_latex: :width 24cm\n" "[[file:figures/plt_v27_velp.pdf]]")),pltcfgs
ynkplt_cntrfctl,(eval (concat "#+label: fig:cntrfctl\n" "#+caption: Counterfactual simulations\n" "#+attr_latex: :width 18cm\n" "[[file:figures/plt_v27_cntrfctl.pdf]]")),pltcfgs
ynkplt_pred_taxinc,(eval (concat "#+label: fig:pred_taxinc\n" "#+caption: Tax Incentives and Private Museum Founding: Adjusted Predictions at the Means (DS all IVs; population 100 mil.; 95% CI)\n" "#+attr_latex: :width 14cm\n" "[[file:figures/plt_v27_pred_taxinc.pdf]]")),pltcfgs
ynkplt_pred_smorc,(eval (concat "#+label: fig:pred_smorc\n" "#+caption: Goverment Cultural Spending and Private Museum Founding: Adjusted Predictions at the Means (population 100 mil.; 95% CI)\n" "#+attr_latex: :width 14cm\n" "[[file:figures/plt_v27_pred_smorc.pdf]]")),pltcfgs
ynkplt_pred_ptinc,(eval (concat "#+label: fig:pred_ptinc\n" "#+caption: ptinc\n" "#+attr_latex: :width 14cm\n" "[[file:figures/plt_v27_pred_ptinc.pdf]]")),pltcfgs
ynkplt_pred_hweal,(eval (concat "#+label: fig:pred_hweal\n" "#+caption: hweal\n" "#+attr_latex: :width 14cm\n" "[[file:figures/plt_v27_pred_hweal.pdf]]")),pltcfgs
ynkplt_pred_hnwi,(eval (concat "#+label: fig:pred_hnwi\n" "#+caption: hweal\n" "#+attr_latex: :width 18cm\n" "[[file:figures/plt_v27_pred_hnwi.pdf]]")),pltcfgs
ynkplt_oucoefchng,(eval (concat "#+label: fig:oucoefchng\n" "#+caption: Coefficient changes given addition of other variables\n" "#+attr_latex: :width 24cm\n" "[[file:figures/plt_v27_oucoefchng.pdf]]")),pltcfgs
rplt_cbn_log_likelihoods,\ref{fig:cbn_log_likelihoods},figlbls
rplt_reg_res_within,\ref{fig:reg_res_within},figlbls
rplt_reg_res_all,\ref{fig:reg_res_all},figlbls
rplt_best_models_wlag,\ref{fig:best_models_wlag},figlbls
rplt_best_models_condensed,\ref{fig:best_models_condensed},figlbls
rplt_lag_cprn,\ref{fig:lag_cprn},figlbls
rplt_cvrgnc,\ref{fig:cvrgnc},figlbls
rplt_coef_violin,\ref{fig:coef_violin},figlbls
rplt_best_coefs_cloud,\ref{fig:best_coefs_cloud},figlbls
rplt_best_coefs_single,\ref{fig:best_coefs_single},figlbls
rplt_best_coefs_single_cbn1,\ref{fig:best_coefs_single_cbn1},figlbls
rplt_lag_dens,\ref{fig:lag_dens},figlbls
rplt_oneout_coefs,\ref{fig:oneout_coefs},figlbls
rplt_oneout_llrt_lldiff,\ref{fig:oneout_llrt_lldiff},figlbls
rplt_oneout_llrt_z,\ref{fig:oneout_llrt_z},figlbls
rplt_vrbl_cycnt,\ref{fig:vrbl_cycnt},figlbls
rplt_cbn_cycnt,\ref{fig:cbn_cycnt},figlbls
rplt_vif,\ref{fig:vif},figlbls
rplt_velp,\ref{fig:velp},figlbls
rplt_cntrfctl,\ref{fig:cntrfctl},figlbls
rplt_pred_taxinc,\ref{fig:pred_taxinc},figlbls
rplt_pred_smorc,\ref{fig:pred_smorc},figlbls
rplt_pred_ptinc,\ref{fig:pred_ptinc},figlbls
rplt_pred_hweal,\ref{fig:pred_hweal},figlbls
rplt_pred_hnwi,\ref{fig:pred_hnwi},figlbls
rplt_oucoefchng,\ref{fig:oucoefchng},figlbls
rplt_oucoefchng_tile,\ref{fig:oucoefchng_tile},figlbls
rplt_oucoefchng_cbn1,\ref{fig:oucoefchng_cbn1},figlbls
rplt_oucoefchng_cbn2,\ref{fig:oucoefchng_cbn2},figlbls
rplt_oucoefchng_cbn3,\ref{fig:oucoefchng_cbn3},figlbls
rtbl_regrslts_wcptblF,\ref{tbl:regrslts_wcptblF},tbllbls
rtbl_regrslts_wcptblT,\ref{tbl:regrslts_wcptblT},tbllbls
rtbl_descs,\ref{tbl:descs},tbllbls
rtbl_cbn_cpsgn,\ref{tbl:cbn_cpsgn},tbllbls
