country,Tax Regime,NPO tax exemption,NPO reporting,NPO reporting sensitive to size,Corporate Tax Incentives,Individual Tax Incentives,Different incentives for corporations/individuals,Estate tax,Donations after death exempt,Score
Tajikistan,1,1,1,0,1,1,0,0,0,9
Tanzania (United Republic of),1,1,1,0,1,1,0,0,0,9
Thailand,1,1,1,0,1,1,1,0,0,9
Timor-Leste,1,1,1,0,1,1,0,0,0,9
Tonga,1,1,1,0,1,1,1,0,0,9
Trinidad and Tobago,1,1,1,0,1,1,0,0,0,9
Yemen,1,1,1,0,1,1,0,0,0,9
Zambia,1,1,1,0,1,1,0,0,0,9
Belize,1,1,0,0,1,1,0,0,0,8
Equatorial Guinea,1,1,0,0,1,1,1,1,0,8
Mauritius,1,1,0,0,1,1,1,0,0,8
Myanmar,1,1,0,0,1,1,0,0,0,8
Senegal,1,1,0,0,1,1,1,1,0,8
St. Lucia,1,1,0,0,1,1,0,0,0,8
Swaziland,1,1,0,0,1,1,0,0,0,8
Tunisia,1,1,0,0,1,1,1,1,0,8
Uganda,1,1,0,0,1,1,0,0,0,8
Viet Nam,1,1,0,0,1,1,0,1,0,8
Greece,1,1,1,0,0,1,1,1,1,7
Macedonia (former Yugoslav Republic of),1,1,1,0,1,0,1,1,1,7
Russian Federation,1,1,1,1,0,1,1,0,0,7
St. Vincent and the Grenadines,1,1,1,1,1,0,1,0,0,7
Algeria,1,1,1,0,1,0,1,1,0,6
Angola,1,1,1,0,1,0,1,1,0,6
Bhutan,1,1,1,0,0,1,1,0,0,6
Cambodia,1,1,1,0,1,0,1,0,0,6
Cameroon,1,1,1,0,1,0,1,1,0,6
Central African Republic,1,1,1,0,1,0,1,1,0,6
Comoros,1,1,1,0,1,0,1,1,0,6
Congo,1,1,1,0,1,0,1,1,0,6
Cyprus,1,0,0,0,1,1,0,0,0,6
Dominican Republic,1,1,1,0,1,0,1,1,0,6
Ecuador,1,1,1,0,0,1,1,1,0,6
Ethiopia,1,1,1,0,1,0,1,0,0,6
Finland,1,1,0,0,1,0,1,1,1,6
Gabon,1,1,1,0,1,0,1,1,0,6
Georgia,1,1,1,0,1,0,1,0,0,6
Ghana,1,1,1,0,1,0,1,0,0,6
Kyrgyzstan,1,1,1,0,1,0,1,0,0,6
Lebanon,1,1,1,0,1,0,1,1,0,6
Lithuania,1,1,1,0,1,0,1,1,0,6
Namibia,1,1,1,0,0,1,1,0,0,6
Nigeria,1,1,1,0,1,0,1,0,0,6
Qatar,1,1,1,0,1,0,1,0,0,6
Serbia,1,1,1,0,1,0,1,1,0,6
Sudan,1,1,1,0,1,0,1,0,0,6
Uruguay,1,1,1,0,1,0,1,0,0,6
Uzbekistan,1,1,1,0,1,0,1,0,0,6
Lao (People’s Democratic Republic),1,1,0,0,1,0,1,0,0,5
Moldova (Republic of) ,1,1,0,0,0,1,1,0,0,5
Mozambique,1,1,0,0,1,0,1,1,0,5
Norway ,1,1,0,0,0,1,1,1,0,5
Azerbaijan ,1,1,1,0,0,0,0,1,1,4
Chad,1,1,1,0,0,0,0,1,1,4
Afghanistan,1,1,1,0,0,0,0,0,0,3
Antigua and Barbuda,1,1,1,0,0,0,0,0,0,3
Belarus,1,0,0,0,1,0,1,0,0,3
Botswana,1,1,1,0,0,0,0,1,0,3
Iraq,1,1,1,0,0,0,0,0,0,3
Kiribati,1,1,1,0,0,0,0,0,0,3
Lesotho,1,1,1,0,0,0,0,0,0,3
Marshall Islands,1,1,1,0,0,0,0,0,0,3
Mauritania,1,0,0,0,0,1,1,0,0,3
Nepal,1,1,1,0,0,0,0,0,0,3
Nicaragua,1,1,1,0,0,0,0,0,0,3
San Marino,1,1,1,0,0,0,0,0,0,3
Sao Tome and Principe,1,1,0,0,0,0,0,1,1,3
Sierra Leone,1,1,1,0,0,0,0,0,0,3
Solomon Islands,1,1,1,0,0,0,0,0,0,3
Togo,1,1,1,0,0,0,0,0,0,3
Turkmenistan,1,1,1,0,0,0,0,0,0,3
Zimbabwe,1,0,0,0,1,0,1,1,0,3
Congo (Democratic Republic of the),1,1,0,0,0,0,0,0,0,2
Cote D’ivoire,1,1,0,0,0,0,0,0,0,2
Gambia,1,1,0,0,0,0,0,0,0,2
Guinea-Bissau,1,1,0,0,0,0,0,1,0,2
Niger,1,1,0,0,0,0,0,0,0,2
Samoa,1,1,0,0,0,0,0,0,0,2
Seychelles,1,1,0,0,0,0,0,0,0,2
Somalia,1,1,0,0,0,0,0,0,0,2
Tuvalu,1,1,0,0,0,0,0,0,0,2
Suriname,1,0,1,0,0,0,0,0,0,1
Djibouti,1,0,0,0,0,0,0,1,0,0
Eritrea,1,0,0,0,0,0,0,0,0,0
Korea (Democratic People’s Republic of),1,0,0,0,0,0,0,0,0,0
Micronesia (Federated State of),1,0,0,0,0,0,0,0,0,0
Palau,1,0,0,0,0,0,0,0,0,0
Andorra,1,1,1,0,0,0,0,0,0,-1
Bahamas,1,0,0,0,0,0,0,0,0,-1
Bahrain,1,0,0,0,0,0,0,0,0,-1
Brunei Darussalam,1,1,1,0,1,0,1,0,0,-1
Burkina Faso,1,1,1,0,0,0,0,1,0,-2
Cuba,1,1,0,0,1,1,0,1,1,-2
Czech Republic,1,1,1,0,1,1,1,1,0,-2
Kuwait,1,0,0,0,1,0,1,0,0,-1
Mali ,1,1,0,0,1,0,1,1,1,-2
Monaco,1,1,1,0,1,1,0,1,1,-1
Nauru,1,0,0,0,0,0,0,0,0,-1
Oman,1,1,1,1,1,0,1,0,0,-1
Saudi Arabia,1,1,1,0,0,0,0,0,0,-1
St. Kitts and Nevis,1,1,1,0,0,0,0,0,0,-1
United Arab Emirates,1,1,1,0,0,0,0,0,0,-1
Vanuatu,1,0,0,0,0,0,0,0,0,-1
